name,img-urls,xfpl,xfpl&f,VS,price,chance_playing,charts
Jordan Pickford,https://resources.premierleague.com/premierleague/photos/players/250x250/p111234.png,xfpl  5.57,xfpl&f 3.87,VS 'Burnley',price  4.6,100,https://i.ibb.co/XF61tBQ/Jordan-Pickford-pizza-chart.png
Emiliano Martínez Romero,https://resources.premierleague.com/premierleague/photos/players/250x250/p98980.png,xfpl  5.28,xfpl&f 5.66,VS 'Brentford',price  5.3,100,https://i.ibb.co/7Nm5pCW/Emiliano-Mart-nez-Romero-pizza-chart.png
Norberto Murara Neto,https://resources.premierleague.com/premierleague/photos/players/250x250/p69752.png,xfpl  4.99,xfpl&f 4.95,VS 'Luton',price  4.7,100,https://i.ibb.co/1GshwBC/Norberto-Murara-Neto-pizza-chart.png
